Iteration	bike_travel	bike_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
216	23506	0	149440	0	33502	0	81398	21936	32454	0	0	0	112994	0
217	23507	0	149598	0	33493	0	81412	21872	32434	0	0	0	112990	0
218	23507	0	149433	0	33455	0	81396	22021	32405	0	0	0	113008	0
219	23507	0	149482	0	33470	0	81420	21888	32434	0	0	0	113020	0
220	23507	0	149463	0	33440	0	81396	21888	32425	0	0	0	112988	0
221	23507	0	149328	0	33418	0	81438	21967	32410	0	0	0	113030	0
222	23507	0	149094	0	33410	0	81406	21965	32403	0	0	0	113039	0
223	23506	0	149008	0	33377	0	81407	21970	32378	0	0	0	113043	0
224	23506	0	148791	0	33378	0	81411	21918	32381	0	0	0	113038	0
225	23507	0	148851	0	33334	0	81433	22045	32369	0	0	0	113006	0
226	23507	0	148823	0	33368	0	81424	22014	32372	0	0	0	112983	0
227	23507	0	149017	0	33315	0	81388	21976	32367	0	0	0	113030	0
228	23506	0	148915	0	33310	0	81408	21962	32353	0	0	0	113019	0
229	23506	0	148768	0	33289	0	81406	22035	32341	0	0	0	112960	0
230	23506	0	148946	0	33249	0	81394	22036	32323	0	0	0	113011	0
231	23505	0	148755	0	33225	0	81415	21938	32335	0	0	0	113029	0
232	23506	0	148807	0	33301	0	81407	22034	32321	0	0	0	112986	0
233	23507	0	149098	0	33235	0	81410	22014	32317	0	0	0	112986	0
234	23507	0	148891	0	33232	0	81405	21968	32305	0	0	0	113006	0
235	23505	0	148900	0	33224	0	81407	22002	32305	0	0	0	113016	0
236	23507	0	148520	0	33155	0	81383	21961	32287	0	0	0	112988	0
237	23507	0	148433	0	33142	0	81390	21931	32283	0	0	0	113004	0
238	23507	0	148311	0	33143	0	81404	21945	32270	0	0	0	113027	0
239	23507	0	148453	0	33140	0	81398	21877	32268	0	0	0	112999	0
240	23507	0	148233	0	33130	0	81405	21969	32264	0	0	0	113003	0
241	23507	0	148195	0	33127	0	81385	22059	32252	0	0	0	112940	0
242	23507	0	148345	0	33130	0	81386	22005	32240	0	0	0	112999	0
